TEXT,Chicken Breast Boneless Skinless,Chicken Breast Bone-In Skinless,Chicken Whole Birds (Fresh),Chicken Whole Birds (Frozen),Chicken Drumsticks,Chicken Leg Quarters,Chicken Leg,Chicken Thigh Boneless Skinless,Chicken Wings,Chicken Breast Bone-In Skin-On,Chicken Thigh Bone-In Skin-On,Duck Whole Birds (Fresh),Duck Whole Birds (Frozen),Duck Breast Skin-On (Fresh),Duck Breast Skin-On (Frozen),Turkey Breasts Boneless Skinless,Turkey Breasts Bone-In Skinless,Turkey Breasts Bone-In Skin-On,Turkey Drumsticks,Turkey Legs,Turkey Thighs,Turkey Wings,Turkey Whole Birds (Fresh),Turkey Whole Birds (Frozen)
CHICKEN BREAST BONELESS SKINLESS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICKEN BREASTS BONELESS SKINLESS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRESH WHOLE CHICKEN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILLED WHOLE CHICKEN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICKEN DRUMSTICK,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICKEN DRUMSTICKS,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICKEN LEG QUARTERS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICKEN LEGS BACK ATTACHED,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICKEN THIGHS BONELESS SKINLESS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICKEN THIGH BONELESS SKINLESS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICKEN WING,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICKEN WINGS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPLIT CHICKEN WINGS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICKEN BREAST BONE-IN WITH SKIN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICKEN BREAST BONE-IN SKIN-ON,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICKEN THIGH BONE-IN SKIN-ON,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICKEN THIGH BONE-IN WITH SKIN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRESH CHICKEN DRUMSTICKS, THIGHS, CHICKEN LEG QUARTERS OR WHOLE CHICKEN",0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHICKEN BREASTS BONELESS, SKINLESS OR SPLIT CHICKEN WINGS",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BONELESS SKINLESS CHICKEN BREAST OR THIGH,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICKEN LEGS BACKS ATTACHED,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICKEN LEG QUARTER,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICKEN LEGS QUARTERED,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICKEN BREAST BONELESS SKINLESS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BONELESS SKINLESS CHICKEN BREASTS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKINLESS BONELESS BREAST CHICKEN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BONELESS SKINLESS CHICKEN BREASTS OR THIGHS,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKINLESS BONELESS CHICKEN THIGH OR BREAST,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICKEN THIGHS OR BREAST SKINLESS BONELESS,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICKEN LEG,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FROZEN WHOLE CHICKEN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHOLE CHICKEN FROZEN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FROZE CHICKEN WHOLE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICKEN LEGS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEG OF CHICKEN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
